itm_mstr_key,sys_cd,form_vrsn,spec_vrsn,itm_srt_id,itm_id,itm_db_id,itm_shrt_label,itm_sect_srt_id,itm_sect_label,itm_grp_cd,itm_loinc_id,itm_type_cd,fixed_rec_srt_id,fixed_rec_strt_byte,fixed_rec_end_byte,fixed_strt_end_bytes,fixed_rec_lngth,itm_vrsn_notes,itm_txt,isc_active,isc_inactive,isc_state_opt,NC,NP,NQ,ND,NT,NPE,IPA,SP,SD,ST,XX
928,MDS,,,88790,S9002A,IL_SUBP_SCHZPHRNIA_CD,IL IDPH Subpart S: Schizophrenia,20,S,Asmt,,Checklist,81085,2444,2444,2444-2444,1,,"IL - If answered Yes to S9001, proceed with psychiatric service items below.  If answered No, do not proceed.  Check all that apply:  a. Schizophrenia",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
929,MDS,,,88820,S9002B,IL_SUBP_DLSNL_DSRDR_CD,IL IDPH Subpart S: Delusional disorder,20,S,Asmt,,Checklist,81090,2445,2445,2445-2445,1,,"IL - If answered Yes to S9001, proceed with psychiatric service items below.  If answered No, do not proceed.  Check all that apply:   b. Delusional disorder",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
930,MDS,,,88850,S9002C,IL_SUBP_SCHZAFCTV_CD,IL IDPH Subpart S: Schizoaffective disorder,20,S,Asmt,,Checklist,81095,2446,2446,2446-2446,1,,"IL - If answered Yes to S9001, proceed with psychiatric service items below.  If answered No, do not proceed.  Check all that apply:  c. Schizoaffective disorder",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
931,MDS,,,88880,S9002D,IL_SUBP_OTHR_PSYCHTC_CD,IL IDPH Subpart S:Psychotic disorder not specified,20,S,Asmt,,Checklist,81100,2447,2447,2447-2447,1,,"IL - If answered Yes to S9001, proceed with psychiatric service items below.  If answered No, do not proceed.  Check all that apply:  d. Psychotic disorder not otherwise specified",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
932,MDS,,,88910,S9002E,IL_SUBP_BIPLR_MIXD_CD,"IL IDPH Subpart S: Bipolar I mixed, manic, & depr",20,S,Asmt,,Checklist,81105,2448,2448,2448-2448,1,,"IL - If answered Yes to S9001, proceed with psychiatric service items below.  If answered No, do not proceed.  Check all that apply:  e. Bipolar I mixed, manic, and depressed",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
933,MDS,,,88940,S9002F,IL_SUBP_BIPLR_II_CD,IL IDPH Subpart S: Bipolar disorder II,20,S,Asmt,,Checklist,81110,2449,2449,2449-2449,1,,"IL - If answered Yes to S9001, proceed with psychiatric service items below.  If answered No, do not proceed.  Check all that apply:  f. Bipolar disorder II",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
934,MDS,,,88970,S9002G,IL_SUBP_CYCLTYMC_CD,IL IDPH Subpart S: Cyclothymic disorder,20,S,Asmt,,Checklist,81115,2450,2450,2450-2450,1,,"IL - If answered Yes to S9001, proceed with psychiatric service items below.  If answered No, do not proceed.  Check all that apply:  g. Cyclothymic disorder",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
935,MDS,,,89000,S9002H,IL_SUBP_OTHR_BIPLR_CD,IL IDPH Subpart S: Bipolar disorder not specified,20,S,Asmt,,Checklist,81120,2451,2451,2451-2451,1,,"IL - If answered Yes to S9001, proceed with psychiatric service items below.  If answered No, do not proceed.  Check all that apply:  h. Bipolar disorder not otherwise specified",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
936,MDS,,,89030,S9002I,IL_SUBP_MAJ_DPRSN_CD,"IL IDPH Subpart S: Major depression, recurrent",20,S,Asmt,,Checklist,81125,2452,2452,2452-2452,1,,"IL - If answered Yes to S9001, proceed with psychiatric service items below.  If answered No, do not proceed.  Check all that apply:  i. Major depression, recurrent",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
937,MDS,,,89060,S9003,IL_SUBP_ANCLRY_CD,IL IDPH Subpart S: Ancillary,20,S,Asmt,,Code,81130,2453,2453,2453-2453,1,,IL - Ancillary Provider Services.  Does resident receive direct services delivered by non-facility providers to meet requirements of Illinois Subpart S?  (exclude only medical/psychiatric management by primary psychiatrist/physician),,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
938,MDS,,,89090,S9020,FL_FRAES_TXT,FL FRAES number,20,S,Asmt,,Text,81135,2454,2461,2454-2461,8,,FL -Florida Facility FRAES number,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
939,MDS,,,89120,S9040A,CA_POLST_CD,CA POLST,20,S,Asmt,,Code,81140,2462,2462,2462-2462,1,,Does resident have a California POLST form in chart?,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
940,MDS,,,89150,S9040B,CA_POLST_A_CD,CA POLST Section A,20,S,Asmt,,Code,81145,2463,2463,2463-2463,1,,CA - Item selected in California POLST Section A,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
941,MDS,,,89180,S9040C,CA_POLST_B_CD,CA POLST Section B,20,S,Asmt,,Code,81150,2464,2464,2464-2464,1,,CA - Item selected in California POLST Section B,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
942,MDS,,,89240,S9040D,CA_POLST_C_CD,CA POLST Section C,20,S,Asmt,,Code,81155,2465,2465,2465-2465,1,,CA - item selected in California POLST Section C,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
943,MDS,,,89300,S9040E,CA_POLST_D_PHYSN_CD,CA POLST D phys/nurse prac/phys asst signature,20,S,Asmt,,Code,81160,2466,2466,2466-2466,1,,"CA - POLST Section D - Signature of Physician, Nurse Practitioner or Physician Assistant",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
944,MDS,,,89330,S9040F,CA_POLST_D_RSDNT_CD,CA POLST D resident signature,20,S,Asmt,,Code,81165,2467,2467,2467-2467,1,,CA - POLST Section D - Signature by Patient or Decisionmaker,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
945,MDS,,,89360,S9040G,CA_POLST_D_DSCSN_CD,CA POLST D discussed with patient or decisionmaker,20,S,Asmt,,Code,81170,2468,2468,2468-2468,1,,Discussed with in California POLST Section D,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
946,MDS,,,89420,S9060,NY_MDCD_ADD_ELGBLTY_CD,NY Medicaid add-on eligibility,20,S,Asmt,,Code,81175,2469,2469,2469-2469,1,,NY - Resident Eligible for enhanced Medicaid Reimbursement (Add-on) for the following condition(s).  Record the appropriate approved specialty unit/facility for the resident,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
947,MDS,,,89450,S9080A,PA_MA_CASE_MIX_CD,PA MA CASE-MIX,20,S,Asmt,,Code,81180,2470,2470,2470-2470,1,,PA - Source of Payment:  a. Is the resident Medical Assistance for MA CASE-MIX (see instructions),,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
948,MDS,,,89480,S9080B,PA_MA_CASE_MIX_DT,PA MA CASE-MIX Date,20,S,Asmt,,Date,81185,2471,2478,2471-2478,8,,PA - Source of Payment:  b. Date of change to/from Medical Assistance for MA CASE-MIX,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
949,MDS,,,89510,S9080C,PA_MA_ACS_CARD_TXT,PA MA CASE-MIX Access Card Number,20,S,Asmt,,Text,81190,2479,2488,2479-2488,10,,PA - Source of Payment:  c. Recipient Number from PA ACCESS Card (must be completed if item S9080A =1),,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
950,MDS,,,89540,S9080D,PA_MA_CASE_MIX_EFCTV_DT,PA MA CASE-MIX MA NF Effective Date,20,S,Asmt,,Date,81200,2489,2496,2489-2496,8,,PA - Source of Payment:  d. MA NF Effective date from PA/FS 162,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
951,MDS,,,89570,S9080E,PA_MA_CASE_MIX_DAY_1_CD,PA MA CASE-MIX Day One MA,20,S,Asmt,,Code,81205,2497,2497,2497-2497,1,,PA - Source of Payment:  e. Is the resident DAY ONE MA eligible,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
952,MDS,,,89600,S9100A,VA_ROOM_BRD_PMT_ARD_CD,VA Room & Board Payment Assessment Reference Date,20,S,Asmt,,Code,81210,2498,2498,2498-2498,1,,Code for the primary source of per diem room and board reimbursement for the resident on the date indicated - Assessment Reference Date (A2300),,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
953,MDS,,,89690,S9120,CT_APRVD_LTC_CD,CT Approved LTC,20,S,Asmt,,Code,81225,2508,2508,2508-2508,1,,"CT -  If S8020C3 is checked, is the insurance a Connecticut Partnership for Long-Term Care approved policy?",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
954,MDS,,,89630,S9100B,VA_ROOM_BRD_PMT_ENT_CD,VA Room & Board Payment Entry Date,20,S,Asmt,,Code,81215,2499,2499,2499-2499,1,,VA - Per Diem Reimbursement (Code for the primary source of per diem room and board reimbursement for the resident on the date indicated)  Date of Entry (A1600),,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
958,MDS,,,89660,S9100C,VA_ROOM_BRD_INITL_DT,VA Medicaid Room & Board initial date,20,S,Asmt,,Date,81220,2500,2507,2500-2507,8,,VA - Initial Date Medicaid Per Diem:  Initial date for primary source of per diem room and board reimbursement to be Virginia Medicaid for this stay.,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
959,MDS,,,70010,ITEM_FILLER_002,CRCTN_ENTRY_DSCHRG_CD,Item filler: replaces old X0600F,28,Filler,Filler,,Text,56550,1272,1272,1272-1272,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
960,MDS,,,80390,S0160,SPCLTY_UNIT_CD,Specialty unit,20,S,Asmt,,Code,81230,2509,2510,2509-2510,2,,Specialty Unit,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
961,MDS,,,80750,S0170A,AD_GRDN_CD,Advanced directive: Guardian,20,S,Asmt,,Code,81235,2511,2511,2511-2511,1,,Advanced Directive: Guardian,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
962,MDS,,,80780,S0170B,AD_DPOC_HC_CD,Advanced directive: DPOA-HC,20,S,Asmt,,Code,81240,2512,2512,2512-2512,1,,Advanced Directive: DPOA-HC,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
963,MDS,,,80810,S0170C,AD_LVG_WILL_CD,Advanced directive: Living will,20,S,Asmt,,Code,81245,2513,2513,2513-2513,1,,Advanced Directive: Living Will,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
964,MDS,,,80840,S0170D,AD_NO_RSCT_CD,Advanced directive: Do not resuscitate,20,S,Asmt,,Code,81250,2514,2514,2514-2514,1,,Advanced Directive: Do Not Resuscitate,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
965,MDS,,,80870,S0170E,AD_NO_HSPTLZ_CD,Advanced directive: Do not hospitalize,20,S,Asmt,,Code,81255,2515,2515,2515-2515,1,,Advanced Directive: Do Not Hospitalize,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
966,MDS,,,80900,S0170F,AD_NO_INTBT_CD,Advanced directive: Do not intubate,20,S,Asmt,,Code,81260,2516,2516,2516-2516,1,,Advanced Directive: Do Not Intubate,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
967,MDS,,,80930,S0170G,AD_FDNG_RSTCT_CD,Advanced directive: Feeding restrictions,20,S,Asmt,,Code,81265,2517,2517,2517-2517,1,,Advanced Directive: Feeding Restrictions,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
968,MDS,,,80960,S0170H,AD_OTHR_TRTMT_RSTCT_CD,Advanced directive: Other treatment restrictions,20,S,Asmt,,Code,81270,2518,2518,2518-2518,1,,Advanced Directive: Other Treatment Restrictions,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
969,MDS,,,80990,S0170Z,NO_ADVNCD_DRCTV_CD,Advanced directive: None of the above,20,S,Asmt,,Code,81275,2519,2519,2519-2519,1,,Advanced Directive: None of the Above,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
970,MDS,,,81020,S0171A,HLTH_CARE_PRXY_CD,Resident healthcare proxy exists,20,S,Asmt,,Code,81280,2520,2520,2520-2520,1,,Does the resident have a healthcare proxy?,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
971,MDS,,,81050,S0171B,HLTH_CARE_PRXY_INVK_CD,Resident healthcare proxy invoked,20,S,Asmt,,Code,81285,2521,2521,2521-2521,1,,Has healthcare proxy been invoked?,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
972,MDS,,,81080,S0172A,GOAL_DSCSN_DOC_RCVD_CD,Goal discussion: documentation received,20,S,Asmt,,Code,81290,2522,2522,2522-2522,1,,Did you receive documentation of a discussion on goals of care from the referring provider?,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
973,MDS,,,81110,S0172B,DSCSN_HOSP_CD,Goal discussion: hospital,20,S,Asmt,,Code,81295,2523,2523,2523-2523,1,,"If you answered �yes� to question S0172A, in which setting(s) did the discussion take place? (check all that apply): Hospital",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
974,MDS,,,81140,S0172C,DSCSN_PRVS_NH_CD,Goal discussion: previous NH,20,S,Asmt,,Code,81300,2524,2524,2524-2524,1,,"If you answered �yes� to question S0172A, in which setting(s) did the discussion take place? (check all that apply): Previous nursing home",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
975,MDS,,,81170,S0172D,DSCSN_HOME_WO_HHS_CD,Goal discussion: Home without home health services,20,S,Asmt,,Code,81305,2525,2525,2525-2525,1,,"If you answered �yes� to question S0172A, in which setting(s) did the discussion take place? (check all that apply): Home Without Home Health Services",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
976,MDS,,,81200,S0172E,DSCSN_HOME_W_HHS_CD,Goal discussion: Home with home health services,20,S,Asmt,,Code,81310,2526,2526,2526-2526,1,,"If you answered �yes� to question S0172A, in which setting(s) did the discussion take place? (check all that apply): Home With Home Health Services",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
977,MDS,,,81230,S0172F,DSCSN_PCP_CD,Goal discussion: PCP office,20,S,Asmt,,Code,81315,2527,2527,2527-2527,1,,"If you answered �yes� to question S0172A, in which setting(s) did the discussion take place? (check all that apply): PCP Office",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
978,MDS,,,81260,S0172G,DCSCN_OTHR_CD,Goal discussion: Other,20,S,Asmt,,Code,81320,2528,2528,2528-2528,1,,"If you answered �yes� to question S0172A, in which setting(s) did the discussion take place? (check all that apply): Other",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
979,MDS,,,81290,S0172H,NO_DSCSN_RSN_CD,Goal discussion: Not occur reason,20,S,Asmt,,Code,81325,2529,2529,2529-2529,1,,"If you answered �no� to question S0172A, did the referring provider indicate why the discussion did not occur?",,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
980,MDS,,,81440,S0183,DSCHRG_PRE_ADMSN_ASMT_CD,Discharged prior to admission assessment,20,S,Asmt,,Code,81330,2530,2530,2530-2530,1,,Did this discharge occur prior to completion of the comprehensive admission assessment?,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
982,MDS,,,86780,S8010F,MDCD_PD_TYPE_CD,Medicaid per diem type,20,S,Asmt,,Code,81340,2531,2531,2531-2531,1,,Type of Medicaid per Diem,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
983,MDS,,,86900,S8010G,MDCD_STATE_SRC_CD,Medicaid state source,20,S,Asmt,,Code,81345,2532,2532,2532-2532,1,,Medicaid State Source,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
984,MDS,,,88340,S8055,PRMRY_PYR_CD,Primary payor,20,S,Asmt,,Code,81350,2533,2533,2533-2533,1,,Primary Payor,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
985,MDS,,,89390,S9040H,CA_POLST_D_AD_CD,CA POLST advanced directive,20,S,Asmt,,Code,81355,2534,2534,2534-2534,1,,California POLST Section D- Advance Directive:,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
987,MDS,,,70520,ITEM_FILLER_188,RSMPTN_THRPY_CD,Item filler: replaces old O0450A,28,Filler,Filler,,Text,70060,1429,1429,1429-1429,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
989,MDS,,,70374,ITEM_FILLER_057,MDFCTN_ADD_THRPY_DT_CD,Item filler: replaces old X0900E,28,Filler,Filler,,Text,70080,1438,1438,1438-1438,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
991,MDS,,,2260,A0310G,PLND_DSCHRG_CD,Planned/unplanned discharge,02,A,Asmt,,Code,70910,1439,1439,1439-1439,1,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST",XX,,x,x,x,x,x,x,x,x,x,x,
992,MDS,,,5210,A1510A,SRUS_MENTL_ILL_CD,Level II PASRR conditions: Serious Mental Illness,02,A,Asmt,,Checklist,70920,1440,1440,1440-1440,1,,,NC,"NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,x,,,,,,,,,,
993,MDS,,,5220,A1510B,MENTL_RTRDTN_CD,Level II PASRR conditions: Intellectual Disability,02,A,Asmt,,Checklist,70930,1441,1441,1441-1441,1,,,NC,"NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,x,,,,,,,,,,
994,MDS,,,5230,A1510C,OTHR_PASSR_RLTD_CD,Level II PASRR conditions: Other related condition,02,A,Asmt,,Checklist,70940,1442,1442,1442-1442,1,,,NC,"NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,x,,,,,,,,,,
995,MDS,,,34410,K0310,WT_GAIN_CD,Weight Gain,12,K,Asmt,,Code,70950,1443,1443,1443-1443,1,,,"NC,NQ,NP,ND,SP,SD","NT,NPE,IPA,ST,XX",,x,x,x,x,,,,x,x,,
996,MDS,,,70455,ITEM_FILLER_133,PEN_PRIOR_CD,Item filler: replaces old K0510A1,28,Filler,Filler,,Text,70960,1444,1444,1444-1444,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
997,MDS,,,70456,ITEM_FILLER_134,PEN_POST_CD,Item filler: replaces old K0510A2,28,Filler,Filler,,Text,70970,1445,1445,1445-1445,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
998,MDS,,,70457,ITEM_FILLER_135,FEEDG_TUBE_PRIOR_CD,Item filler: replaces old K0510B1,28,Filler,Filler,,Text,70980,1446,1446,1446-1446,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
999,MDS,,,70458,ITEM_FILLER_136,FEEDG_TUBE_POST_CD,Item filler: replaces old K0510B2,28,Filler,Filler,,Text,70990,1447,1447,1447-1447,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1000,MDS,,,70358,ITEM_FILLER_049,ALTR_FOOD_PRIOR_CD,Item filler: replaces old K0510C1,28,Filler,Filler,,Text,71000,1448,1448,1448-1448,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1001,MDS,,,70459,ITEM_FILLER_137,ALTR_FOOD_POST_CD,Item filler: replaces old K0510C2,28,Filler,Filler,,Text,71010,1449,1449,1449-1449,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1002,MDS,,,70360,ITEM_FILLER_050,THRPTC_DIET_PRIOR_CD,Item filler: replaces old K0510D1,28,Filler,Filler,,Text,71020,1450,1450,1450-1450,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1003,MDS,,,70460,ITEM_FILLER_138,THRPTC_DIET_POST_CD,Item filler: replaces old K0510D2,28,Filler,Filler,,Text,71030,1451,1451,1451-1451,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1004,MDS,,,70461,ITEM_FILLER_139,NO_FEEDG_PRIOR_CD,Item filler: replaces old K0510Z1,28,Filler,Filler,,Text,71040,1452,1452,1452-1452,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1005,MDS,,,70462,ITEM_FILLER_140,NO_FEEDG_POST_CD,Item filler: replaces old K0510Z2,28,Filler,Filler,,Text,71050,1453,1453,1453-1453,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1006,MDS,,,40310,M1040G,SKIN_TEAR_CD,Skin Tear(s),14,M,Asmt,,Checklist,71060,1454,1454,1454-1454,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,,,
1007,MDS,,,40320,M1040H,MASD_CD,Moisture Associated Skin Damage (MASD),14,M,Asmt,,Checklist,71070,1455,1455,1455-1455,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,,,
1008,MDS,,,70463,ITEM_FILLER_141,ANTIPSYCHTC_DAY_NUM,Item filler: replaces old N0410A,28,Filler,Filler,,Text,71080,1456,1456,1456-1456,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1009,MDS,,,70464,ITEM_FILLER_142,ANTINXTY_DAY_NUM,Item filler: replaces old N0410B,28,Filler,Filler,,Text,71090,1457,1457,1457-1457,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1010,MDS,,,70465,ITEM_FILLER_143,ANTIDPRSNT_DAY_NUM,Item filler: replaces old N0410C,28,Filler,Filler,,Text,71100,1458,1458,1458-1458,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1011,MDS,,,70466,ITEM_FILLER_144,HPNTC_DAY_NUM,Item filler: replaces old N0410D,28,Filler,Filler,,Text,71110,1459,1459,1459-1459,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1012,MDS,,,70467,ITEM_FILLER_145,ANTICOAGLNT_DAY_NUM,Item filler: replaces old N0410E,28,Filler,Filler,,Text,71120,1460,1460,1460-1460,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1013,MDS,,,70468,ITEM_FILLER_146,ANTBTC_DAY_NUM,Item filler: replaces old N0410F,28,Filler,Filler,,Text,71130,1461,1461,1461-1461,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1014,MDS,,,70469,ITEM_FILLER_147,DRTC_DAY_NUM,Item filler: replaces old N0410G,28,Filler,Filler,,Text,71140,1462,1462,1462-1462,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1015,MDS,,,50225,Q0490,PREFNC_AVOID_ASK_CD,Resident's preference to avoid being asked,18,Q,Asmt,,Code,71150,1463,1463,1463-1463,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,,,
1016,MDS,,,50250,Q0550A,PREFNC_REASK_CD,Reasking resident preference,18,Q,Asmt,,Code,71160,1464,1464,1464-1464,1,,,"NC,NQ,NP,SP","ND,NT,NPE,IPA,SD,ST,XX",,x,x,x,,,,,x,,,
1017,MDS,,,70505,ITEM_FILLER_182,SRC_REASK_CD,Item filler: replaces old Q0550B,28,Filler,Filler,,Text,71170,1465,1465,1465-1465,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1018,MDS,,,81320,S0173,DSCSN_SINCE_NADMIN_NC_CD,Documentation of goals of care discussion,20,S,Asmt,,Code,81360,2535,2535,2535-2535,1,,Is there documentation in the medical record that a discussion of goals of care with the resident or legal healthcare representative occurred since the last comprehensive OBRA assessment was completed?,,"NPE,IPA,SP,SD,ST,XX","NC,NQ,NP,ND,NT",s,s,s,s,s,,,,,,
1019,MDS,,,70362,ITEM_FILLER_051,CAL_PRNTRL_PRIOR_CD,Item filler: replaces old K0710A1,28,Filler,Filler,,Text,71180,1466,1466,1466-1466,1,,,,"NC,NQ,NP,ND,NT,NPE,IPA,SP,SD,ST,XX",,,,,,,,,,,,
1020,MDS,,,35130,K0710A2,CAL_PRNTRL_POST_CD,Prop calories parenteral/tube feed: while resident,12,K,Asmt,,Code,71190,1467,1467,1467-1467,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
1021,MDS,,,35140,K0710A3,CAL_PRNTRL_7_DAY_CD,Prop calories parenteral/tube feed: 7 days,12,K,Asmt,,Code,71200,1468,1468,1468-1468,1,,,"NC,NQ,NP,IPA,SP","ND,NT,NPE,SD,ST,XX",,x,x,x,,,,x,x,,,
